维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
D1资源	IconBattle	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_226.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCastle	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_223.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconChat	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_572.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconChestGoldOpen	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_526.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconChestHalfOpen	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_555.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconChestWoodClosed	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_527.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCoin	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_215.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCoinPile	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_216.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCrownBig	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_883.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCrownBlack	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_075.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCrownBlueGem	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_187.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCrownFivePoint	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_878.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCrownGold	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_050.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconCrownRedGem	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_188.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconElixirBarLeft	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_159.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconElixirDrop	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_099.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconGamepad	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_570.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconGear	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_563.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconGemBlue	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_597.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconGemGreen	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_214.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconMedal	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_213.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconPlus	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_521.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconQuestion	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_292.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconQuitCross	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_164.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconSearch	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_279.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconShieldBlue	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_225.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconSpellBook	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_205.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconTournamentCreate	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_out/frame_281.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconTrophy	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_109.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	IconTrophyLaurel	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Icons/ui_battle_end_out/frame_195.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelCornerBlueGold	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_505.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelEdgeBlueGold	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_506.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelFrameDark	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_battle_end_out/frame_108.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelFrameGrey	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_592.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelFrameOutline	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_802.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelPaper	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_806.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelPaperCornerBig	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_812.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelPaperCornerBl	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_811.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelPaperCornerTl	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_808.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	PanelPaperCornerTr	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Panels/ui_out/frame_807.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	SlotCard	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Slots/ui_out/frame_043.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	SlotCardPlain	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Slots/ui_out/frame_531.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	SlotCorner	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Slots/ui_out/frame_011.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	SpellArtRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Cards/ui_spells_out	一致	coverage-enumerate.py
D1资源	SpritesRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites	一致	coverage-enumerate.py
D1资源	TitleBarGold	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_069.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	TitleBarWood	键→文件存在	exists / missing	ResPaths 键必须指向盘上存在的 frame	Test-Path True: Sprites/Ui/Bars/ui_out/frame_070.png	一致	coverage-enumerate.py / check-ui-keys.ps1 A
D1资源	TowersRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Towers/building_tower_out	一致	coverage-enumerate.py
D1资源	UiRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Ui	一致	coverage-enumerate.py
D1资源	UnitsRoot	资源根存在	exists	ResPaths 资源根必须在盘上	Test-Path True: Assets/Resources/Sprites/Units	一致	coverage-enumerate.py
D1资源	arena_training_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_barbarian_hut_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_barbarian_hut_out	一致	coverage-enumerate.py
D1资源	building_barbarian_hut_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_basic_cannon_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_basic_cannon_out	一致	coverage-enumerate.py
D1资源	building_basic_cannon_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_bomb_tower_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_bomb_tower_out	一致	coverage-enumerate.py
D1资源	building_bomb_tower_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_elixir_collector_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_elixir_collector_out	一致	coverage-enumerate.py
D1资源	building_elixir_collector_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_firespirit_hut_out	源目录是否已落地	落地 / 未落地	参考规格 §6 列出的素材目录应落地	未落地（Resources 下无同名目录）	允许的差异（D76）	范围判据 = 策划/策划案/皇室战争参考规格.md §6 的 60 卡素材目录表 + §0「明确不做」；归属 = AE1-redrows #12；素材按「只复制被引用的那几个」口径未搬运
D1资源	building_goblin_hut_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_goblin_hut_out	一致	coverage-enumerate.py
D1资源	building_goblin_hut_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_inferno_tower_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_inferno_tower_out	一致	coverage-enumerate.py
D1资源	building_inferno_tower_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_mega_bomb_out	源目录是否已落地	落地 / 未落地	参考规格 §6 列出的素材目录应落地	未落地（Resources 下无同名目录）	允许的差异（D76）	范围判据 = 策划/策划案/皇室战争参考规格.md §6 的 60 卡素材目录表 + §0「明确不做」；归属 = AE1-redrows #12；素材按「只复制被引用的那几个」口径未搬运
D1资源	building_mortar_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_mortar_out	一致	coverage-enumerate.py
D1资源	building_mortar_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_rage_bottle_out	源目录是否已落地	落地 / 未落地	参考规格 §6 列出的素材目录应落地	未落地（Resources 下无同名目录）	允许的差异（D76）	范围判据 = 策划/策划案/皇室战争参考规格.md §6 的 60 卡素材目录表 + §0「明确不做」；归属 = AE1-redrows #12；素材按「只复制被引用的那几个」口径未搬运
D1资源	building_tesla_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_tesla_out	一致	coverage-enumerate.py
D1资源	building_tesla_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_tombstone_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_tombstone_out	一致	coverage-enumerate.py
D1资源	building_tombstone_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_tower_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Towers/building_tower_out	一致	coverage-enumerate.py
D1资源	building_tower_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	building_xbow_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Buildings/building_xbow_out	一致	coverage-enumerate.py
D1资源	building_xbow_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_archer_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_archer_out	一致	coverage-enumerate.py
D1资源	chr_archer_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_axe_man_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_axe_man_out	一致	coverage-enumerate.py
D1资源	chr_axe_man_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_baby_dragon_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_baby_dragon_out	一致	coverage-enumerate.py
D1资源	chr_baby_dragon_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_balloon_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_balloon_out	一致	coverage-enumerate.py
D1资源	chr_balloon_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_bandit_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_bandit_out	一致	coverage-enumerate.py
D1资源	chr_bandit_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_barbarian_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_barbarian_out	一致	coverage-enumerate.py
D1资源	chr_barbarian_out	源目录是否已落地	落地 / 未落地	已落地	已落地	一致	coverage-enumerate.py
D1资源	chr_bats_out	sprite_dir 是否有对应目录	dir hit / miss	unit_cs.sprite_dir 必须在盘上存在	dir hit: client/Assets/Resources/Sprites/Units/chr_bats_out	一致	coverage-enumerate.py
